email, nome completo, senha, tipo
"ana@email.gerente.com";"Ana Paula Soares";"Xy7kLp92";"gerente"
"joao@email.gerente.com";"João Marcos Lima";"Tg4bRz81";"gerente"
"maria@email.gerente.com";"Maria Eduarda Silva";"Qs8vXn32";"gerente"
"carlos@email.gerente.com";"Carlos Henrique Dias";"Wp2mNv45";"gerente"
"luana@email.gerente.com";"Luana Ferreira Costa";"Jd3qKt77";"gerente"
"rafael@email.com";"Rafael Monteiro";"Yb9cFw61";"cliente"
"beatriz@email.com";"Beatriz Almeida";"Gh6zUr28";"cliente"
"lucas@email.com";"Lucas Oliveira";"Np3vLk54";"cliente"
"juliana@email.com";"Juliana Mendes";"Tx7mZw80";"cliente"
"andre@email.com";"André Souza";"Rm4xHq93";"cliente"
"thais@email.gerente.com";"Thaís Santana da Silva";"abc123";"gerente"
"eduarda@email.gerente.com";"Eduarda Camargo";"dudavai";"gerente"
"radames@email.com";"Radames Juliano Halmeman";"abc123";"cliente"
"radames@email.gerente.com";"Radames Juliano Halmeman";"abc123";"gerente"
